x,y,date_single
-99.04208,19.28242,2019-01-07
-99.07485,19.37009,2018-11-20
-99.1068,19.39364,2018-12-30
-98.99442,19.22179,2019-01-07
-99.19916,19.37784,2019-01-07
-99.10731,19.39102,2019-01-03
-99.10731,19.39102,2019-01-03
-99.10709,19.39217,2018-01-06
-99.10709,19.39217,2018-01-06
-99.03432,19.33091,2018-11-12
-99.2039,19.48956,2018-01-05
-99.2039,19.48956,2018-01-05
-99.2039,19.48956,2018-01-05
-99.18695,19.45597,2019-01-06
-99.20498,19.32881,2019-01-07
-99.02362,19.37902,2018-11-13
-99.04191,19.32455,2018-11-26
-99.13985,19.45947,2019-01-03
-99.13985,19.45947,2019-01-03
-98.99344,19.26454,2018-11-17
-99.0551,19.37514,2018-12-31
-99.08645,19.24729,2018-11-03
-99.08645,19.24729,2018-11-03
-99.08645,19.24729,2018-11-03
-99.01133,19.2555,2018-11-05
-98.99356,19.26457,2018-11-21
-99.09861,19.35542,2019-01-06
-99.18267,19.41606,2018-11-25
-99.16536,19.39714,2018-12-31
-99.08944,19.35855,2018-11-27
-99.19956,19.49029,2018-12-31
-99.19956,19.49029,2018-12-31
-99.16177,19.23454,2019-01-03
-99.16177,19.23454,2019-01-03
-99.02362,19.37902,2018-11-30
-99.13349,19.56706,2019-01-07
-99.09129,19.41914,2019-01-07
-99.18938,19.34111,2019-01-07
-99.15744,19.26988,2019-01-07
-99.20527,19.44043,2019-01-07
-99.11311,19.29817,2018-11-25
-99.16712,19.26786,2019-01-07
-99.16748,19.52205,2019-01-07
-99.16748,19.52205,2019-01-07
-99.22748,19.37088,2018-11-14
-99.22748,19.37088,2018-11-14
-99.22748,19.37088,2018-11-14
-99.01621,19.36526,2019-01-06
-99.15338,19.44603,2019-01-07
-99.15251,19.44977,2018-11-26
-99.163,19.51887,2019-01-08
-99.163,19.51887,2019-01-08
-99.1856,19.44399,2019-01-08
-99.1856,19.44399,2019-01-08
-99.18753,19.45438,2019-01-07
-99.14333,19.3899,2019-01-05
-99.07001,19.31113,2018-12-30
-99.07001,19.31113,2018-12-30
-99.12597,19.26082,2018-01-07
-99.12597,19.26082,2018-01-07
-99.13397,19.55494,2019-01-05
-99.15411,19.44393,2018-11-26
-99.09094,19.41632,2019-01-08
-99.13608,19.29718,2019-01-08
-99.068,19.1863,2019-01-08
-99.18351,19.49182,2019-01-08
-99.18268,19.43383,2018-12-27
-99.25217,19.38673,2018-12-23
-99.01488,19.36093,2018-12-23
-99.21138,19.44404,2018-11-30
-99.21138,19.44404,2018-11-30
-99.26935,19.31409,2019-01-07
-99.26935,19.31409,2019-01-07
-99.07242,19.37802,2019-01-06
-99.11865,19.29615,2019-01-08
-99.11865,19.29615,2019-01-08
-99.10311,19.46068,2019-01-01
-99.10311,19.46068,2019-01-01
-99.09732,19.47896,2019-01-08
-99.1761,19.26413,2019-01-08
-99.1761,19.26413,2019-01-08
-99.1761,19.26413,2019-01-08
-99.1784,19.45518,2019-01-08
-99.11058,19.31364,2018-11-06
-99.11069,19.41305,2018-12-04
-99.11069,19.41305,2018-12-04
-99.2047,19.47232,2019-01-08
-99.06873,19.34811,2019-01-08
-99.13256,19.40844,2019-01-08
-99.12409,19.40046,2019-01-08
-99.12409,19.40046,2019-01-08
-99.18107,19.40566,2018-12-27
-99.14506,19.34617,2018-09-12
-99.11073,19.46735,2019-01-08
-99.1531,19.34149,2018-09-12
-99.1531,19.34149,2018-09-12
-99.11058,19.31364,2018-11-11
-99.14885,19.34019,2018-02-12
-99.24768,19.36335,2018-12-14
-99.24768,19.36335,2018-12-14
-99.05973,19.30452,2018-11-15
-98.97607,19.33681,2019-01-08
-99.19135,19.45457,2018-10-20
-99.19135,19.45457,2018-10-20
-99.06078,19.41129,2019-01-08
-99.23887,19.38223,2018-12-11
-99.09553,19.33201,2018-11-04
-99.09553,19.33201,2018-11-04
-99.14317,19.42237,2019-01-09
-99.16589,19.31487,2019-01-09
-99.1963,19.38283,2019-01-09
-99.14126,19.43119,2019-01-08
-99.17026,19.33198,2018-07-12
-99.04255,19.33223,2019-01-07
-99.21127,19.48328,2019-01-08
-99.18527,19.36083,2018-01-08
-98.99707,19.35224,2019-01-08
-99.07924,19.38241,2019-01-09
-99.17579,19.28403,2019-01-09
-99.09486,19.41933,2019-01-09
-99.10493,19.26455,2019-01-08
-99.17097,19.46987,2019-01-09
-99.13693,19.39944,2019-01-09
-99.15801,19.37396,2019-01-09
-99.15801,19.37396,2019-01-09
-99.00493,19.27185,2018-10-27
-99.03139,19.2858,2019-01-09
-99.18111,19.46503,2019-01-09
-99.07143,19.34935,2018-11-25
-99.06764,19.40384,2019-01-08
-99.00935,19.26074,2018-11-12
-99.24301,19.35891,2018-11-21
-99.00898,19.25283,2018-11-18
-99.00898,19.25283,2018-11-18
-99.07405,19.24737,2018-11-05
-99.09864,19.39239,2019-01-10
-99.00325,19.26823,2019-01-10
-99.09046,19.3586,2018-11-06
-99.09549,19.33201,2018-11-22
-99.01884,19.32218,2018-11-19
-99.01884,19.32218,2018-11-19
-99.06596,19.29981,2019-01-10
-99.00256,19.35188,2018-11-30
-99.00256,19.35188,2018-11-30
-99.16435,19.47121,2019-01-10
-99.07162,19.38923,2019-01-10
-99.07162,19.38923,2019-01-10
-99.09741,19.45146,2019-01-07
-99.1381,19.4042,2018-11-12
-99.18213,19.4345,2018-12-03
-99.18213,19.4345,2018-12-03
-99.15939,19.29621,2019-01-10
-99.15939,19.29621,2019-01-10
-99.19215,19.47366,2019-01-10
-99.19698,19.43795,2018-12-03
-99.19698,19.43795,2018-12-03
-99.09984,19.4502,2019-01-10
-99.12265,19.32902,2019-01-10
-99.00654,19.36675,2019-01-10
-99.07025,19.31414,2019-01-10
-99.20012,19.47557,2018-11-29
-99.24715,19.38647,2019-01-10
-99.07566,19.38317,2019-01-09
-99.11992,19.45185,2019-01-10
-99.09954,19.40305,2019-01-10
-99.07958,19.35577,2019-01-09
-99.1971,19.4544,2019-01-08
-99.19099,19.49226,2018-07-18
-99.24973,19.36202,2018-11-15
-99.24973,19.36202,2018-11-15
-99.24973,19.36202,2018-11-15
-99.1551,19.37883,2019-01-10
-99.19169,19.44272,2018-12-30
-99.22366,19.38643,2018-11-17
-99.22366,19.38643,2018-11-17
-99.22366,19.38643,2018-11-17
-99.22155,19.37685,2018-11-18
-99.22155,19.37685,2018-11-18
-99.12374,19.4683,2019-01-10
-99.16276,19.2879,2018-11-15
-99.16276,19.2879,2018-11-15
-99.0903,19.35652,2018-11-06
-99.04407,19.34316,2018-11-30
-99.07816,19.41417,2018-12-01
-99.26023,19.38939,2018-11-17
-99.18918,19.45285,2018-09-21
-99.11378,19.36327,2019-01-10
-99.11378,19.36327,2019-01-10
-99.11378,19.36327,2019-01-10
-99.16053,19.39311,2019-01-10
-99.16053,19.39311,2019-01-10
-99.13572,19.47106,2019-01-10
-99.17736,19.46584,2019-01-11
-99.20055,19.37901,2019-01-03
-99.19371,19.48714,2019-01-11
-99.19945,19.3729,2018-11-12
-99.16766,19.28831,2019-01-11
-99.12119,19.27619,2018-11-19
-99.00859,19.35533,2019-01-09
-99.00859,19.35533,2019-01-09
-99.1255,19.49968,2018-02-13
-99.1255,19.49968,2018-02-13
-99.20141,19.43186,2019-01-11
-99.13699,19.39917,2019-01-11
-99.10015,19.50954,2018-08-20
-99.10015,19.50954,2018-08-20
-99.17073,19.40199,2018-11-25
-99.02903,19.38093,2018-11-27
-99.02903,19.38093,2018-11-27
-99.02903,19.38093,2018-11-27
-99.13525,19.43312,2019-01-11
-99.08722,19.38554,2018-12-23
-99.08394,19.39264,2019-01-10
-99.00551,19.26836,2019-01-04
-99.00551,19.26836,2019-01-04
-99.06127,19.25281,2018-10-03
-99.00095,19.35834,2018-11-30
-99.0428,19.33226,2019-01-08
-99.13622,19.39701,2018-11-17
-99.0403,19.35857,2018-12-19
-99.0403,19.35857,2018-12-19
-99.16534,19.26571,2018-12-17
-99.14106,19.37203,2018-12-07
-99.15071,19.3132,2018-12-16
-99.16612,19.36845,2019-01-11
-99.1219,19.47251,2019-01-11
-99.0363,19.2971,2019-01-10
-99.19226,19.38973,2019-01-12
-99.19226,19.38973,2019-01-12
-99.13821,19.40391,2018-11-12
-99.16036,19.32308,2018-01-12
-98.96369,19.31261,2018-11-23
-98.96369,19.31261,2018-11-23
-99.08385,19.36177,2019-01-11
-99.06354,19.34604,2019-01-11
-99.24408,19.38557,2019-01-11
-99.00205,19.27527,2018-11-28
-99.16794,19.44477,2019-01-12
-99.16563,19.36929,2019-01-12
-99.13151,19.51597,2019-01-10
-99.14112,19.37815,2018-10-12
-99.20144,19.33997,2018-11-09
-99.20144,19.33997,2018-11-09
-99.1341,19.3952,2018-07-12
-99.1341,19.3952,2018-07-12
-99.17931,19.43864,2018-11-02
-99.17931,19.43864,2018-11-02
-99.22716,19.37979,2018-11-09
-99.22716,19.37979,2018-11-09
-99.14969,19.38148,2018-12-17
-99.14032,19.42424,2019-01-12
-99.14296,19.36251,2018-08-12
-99.13628,19.39706,2018-04-12
-99.18449,19.45102,2018-12-10
-99.06833,19.31128,2019-01-12
-99.22099,19.37826,2018-11-18
-99.24976,19.36205,2018-11-25
-99.24147,19.3828,2018-07-12
-99.09549,19.3318,2018-11-12
-99.07794,19.31467,2019-01-12
-99.04636,19.35061,2018-11-24
-99.13012,19.36406,2019-01-12
-99.14235,19.42985,2019-01-13
-99.25658,19.358,2018-11-18
-99.25658,19.358,2018-11-18
-99.14232,19.39503,2018-12-24
-99.14232,19.39503,2018-12-24
-99.20264,19.39014,2019-01-13
-99.20264,19.39014,2019-01-13
-99.16454,19.47185,2019-01-13
-99.11717,19.24162,2019-01-13
-99.15427,19.4256,2019-01-13
-99.11995,19.45206,2019-01-13
-99.15121,19.39551,2019-01-11
-99.15121,19.39551,2019-01-11
-99.20528,19.42447,2019-01-13
-99.20528,19.42447,2019-01-13
-99.20528,19.42447,2019-01-13
-99.15539,19.40285,2018-01-13
-99.12101,19.47235,2019-01-13
-99.21997,19.44926,2019-01-13
-99.14169,19.28146,2019-01-13
-99.1556,19.46385,2019-01-13
-99.16774,19.44445,2019-01-13
-99.16774,19.44445,2019-01-13
-99.15347,19.44533,2019-01-13
-99.15302,19.47329,2019-01-13
-99.15302,19.47329,2019-01-13
-99.24125,19.31482,2019-01-13
-99.25115,19.36127,2018-12-12
-99.25115,19.36127,2018-12-12
-99.25115,19.36127,2018-12-12
-99.17563,19.36965,2019-01-13
-99.14704,19.48424,2019-01-04
-99.14704,19.48424,2019-01-04
-99.15702,19.3068,2018-11-20
-99.26382,19.31872,2019-06-06
-99.26382,19.31872,2019-06-06
-99.15912,19.44735,2019-06-06
-99.11384,19.47254,2019-06-03
-99.14242,19.39436,2019-04-23
-99.16493,19.37039,2019-06-02
-99.18558,19.44917,2019-06-05
-99.15316,19.44631,2019-06-06
-99.15316,19.44631,2019-06-06
-99.16261,19.36491,2019-06-06
-99.18425,19.33827,2019-06-05
-99.18425,19.33827,2019-06-05
-99.14536,19.38395,2019-04-22
-99.16452,19.30253,2019-06-06
-98.99045,19.34224,2019-06-06
-99.14379,19.40673,2019-06-06
-99.13089,19.33969,2019-06-06
-99.28806,19.36379,2019-06-06
-99.14621,19.43099,2019-06-06
-99.0807,19.46504,2019-06-06
-99.14426,19.42822,2019-06-06
-99.11977,19.44415,2019-06-06
-99.13605,19.43363,2019-06-06
-99.03267,19.33598,2019-06-03
-99.15064,19.47459,2019-05-28
-99.12521,19.45408,2019-06-06
-99.24296,19.3804,2019-04-24
-99.09518,19.37764,2019-06-05
-99.16526,19.30139,2019-05-05
-99.16526,19.30139,2019-05-05
-99.24552,19.35307,2019-04-11
-99.15479,19.28828,2019-04-29
-99.15479,19.28828,2019-04-29
-99.1544,19.29448,2019-04-29
-99.22751,19.3706,2019-04-24
-99.11973,19.49173,2019-06-06
-99.15851,19.37981,2019-05-12
-99.18784,19.41141,2019-06-06
-99.15913,19.39411,2019-06-07
-99.13508,19.5154,2019-05-13
-99.13508,19.5154,2019-05-13
-99.11613,19.45012,2019-06-06
-99.16706,19.42954,2019-05-26
-99.07917,19.24638,2019-06-06
-99.04517,19.34181,2019-06-06
-99.106,19.35526,2019-06-07
-99.106,19.35526,2019-06-07
-99.25504,19.37788,2019-05-31
-99.07922,19.40955,2019-06-07
-99.13582,19.42429,2019-05-30
-99.20099,19.43826,2019-05-31
-99.1115,19.26457,2019-06-07
-99.20846,19.33167,2019-06-07
-99.13002,19.41755,2019-06-07
-99.13002,19.41755,2019-06-07
-99.21764,19.48321,2019-05-30
-99.08442,19.39066,2019-06-07
-99.15256,19.446,2019-06-07
-99.16785,19.40747,2019-05-07
-99.16785,19.40747,2019-05-07
-99.16907,19.40605,2019-05-08
-99.16907,19.40605,2019-05-08
-99.09856,19.33255,2019-06-07
-99.09856,19.33255,2019-06-07
-99.21744,19.44944,2019-06-07
-99.1789,19.44453,2019-05-18
-99.02887,19.38054,2019-06-02
-99.05875,19.30393,2019-04-07
-99.05875,19.30393,2019-04-07
-99.05875,19.30393,2019-04-07
-99.03223,19.35676,2019-06-02
-99.03223,19.35676,2019-06-02
-99.03223,19.35676,2019-06-02
-99.05708,19.29065,2019-05-19
-99.12545,19.43574,2019-06-08
-99.144,19.41597,2019-06-08
-99.14104,19.4326,2019-06-08
-99.23869,19.2879,2019-06-07
-99.24941,19.31562,2019-06-08
-99.10757,19.48849,2019-06-08
-99.17809,19.44486,2019-06-08
-99.12171,19.42738,2019-05-28
-99.21639,19.32916,2019-06-08
-99.17617,19.33358,2019-06-08
-99.14592,19.28681,2019-06-06
-99.18226,19.4338,2019-06-08
-99.1309,19.48697,2019-06-08
-99.09282,19.32158,2019-06-08
-99.17642,19.45359,2019-06-08
-99.12225,19.36017,2019-06-08
-99.06103,19.305,2019-06-08
-99.06101,19.2936,2019-06-07
-99.04897,19.39223,2019-06-08
-99.19216,19.45764,2019-06-08
-99.15298,19.44661,2019-06-08
-99.06127,19.30505,2019-06-08
-99.20457,19.50218,2019-06-08
-99.17073,19.36947,2019-06-08
-99.17741,19.43948,2019-05-19
-99.12005,19.40911,2019-03-25
-99.11788,19.30119,2019-03-28
-99.1553,19.29237,2019-06-09
-99.1553,19.29237,2019-06-09
-99.14762,19.38246,2019-05-03
-99.13041,19.42989,2019-06-09
-99.16283,19.426,2019-06-06
-99.07189,19.29915,2019-06-09
-99.13889,19.42107,2019-06-09
-99.19239,19.45742,2019-06-09
-99.27487,19.36256,2019-06-08
-99.15834,19.42587,2019-06-09
-99.12782,19.38607,2019-03-30
-99.12782,19.38607,2019-03-30
-99.12782,19.38607,2019-03-30
-99.18439,19.36189,2019-06-08
-99.20685,19.44037,2019-06-09
-99.2195,19.38696,2019-06-09
-99.15032,19.37973,2019-05-26
-99.12193,19.46571,2019-05-06
-99.06395,19.33381,2019-06-09
-99.1134,19.43026,2019-06-09
-99.18299,19.44441,2019-06-09
-99.15317,19.44628,2019-06-09
-99.16637,19.47135,2019-06-09
-99.15421,19.43177,2019-06-09
-99.15421,19.43177,2019-06-09
-99.08599,19.4423,2019-06-10
-99.16863,19.4636,2019-06-09
-99.06449,19.33532,2019-06-09
-99.06449,19.33532,2019-06-09
-99.12363,19.43711,2019-06-04
-99.11315,19.39861,2019-06-09
-99.10662,19.34995,2019-06-10
-99.22373,19.28339,2019-06-10
-99.11992,19.45185,2019-06-10
-99.11992,19.45185,2019-06-10
-99.18424,19.48683,2019-05-06
-99.21984,19.45156,2019-06-10
-99.10834,19.44426,2019-05-31
-99.10521,19.44916,2019-05-29
-99.10521,19.44916,2019-05-29
-99.06114,19.30505,2019-06-10
-99.09277,19.32047,2019-06-10
-99.15047,19.44588,2019-06-09
-99.20582,19.42908,2019-06-10
-99.14389,19.4562,2019-06-07
-99.06483,19.41042,2019-06-10
-99.06483,19.41042,2019-06-10
-99.16038,19.50033,2019-06-09
-99.07025,19.29962,2019-05-10
-99.19026,19.34055,2019-04-23
-99.169,19.28006,2019-05-23
-99.10211,19.41722,2019-06-08
-99.16327,19.288,2019-05-29
-99.14234,19.28145,2019-05-08
-99.14417,19.46813,2019-06-10
-99.00615,19.36607,2019-06-10
-99.13981,19.38429,2019-06-10
-99.13939,19.28507,2019-06-10
-99.15492,19.45827,2019-06-10
-99.12964,19.40868,2019-06-10
-99.12964,19.40868,2019-06-10
-99.15665,19.20415,2019-06-10
-99.08833,19.44198,2019-05-26
-99.14802,19.24208,2019-06-10
-99.14802,19.24208,2019-06-10
-99.14802,19.24208,2019-06-10
-99.09207,19.24482,2019-06-10
-99.09207,19.24482,2019-06-10
-99.1376,19.36615,2019-04-18
-99.08716,19.44435,2019-06-02
-99.13171,19.46791,2019-06-10
-99.04007,19.3591,2017-03-20
-99.01688,19.36042,2019-05-10
-99.13478,19.27643,2019-06-10
-99.13478,19.27643,2019-06-10
-99.21051,19.3899,2019-06-10
-99.11788,19.47368,2019-06-10
-99.11788,19.47368,2019-06-10
-99.09085,19.38098,2019-04-10
-99.11881,19.26442,2016-05-14
-99.06738,19.46801,2019-06-10
-99.06738,19.46801,2019-06-10
-99.26727,19.38229,2019-06-11
-99.00361,19.35714,2019-06-11
-99.11251,19.50127,2019-05-29
-99.18919,19.45278,2019-05-12
-99.04405,19.34314,2019-04-09
-99.14071,19.461,2019-05-30
-99.12057,19.46401,2019-06-11
-99.19045,19.34823,2019-06-08
-99.2195,19.38696,2019-05-06
-99.16452,19.30253,2019-06-09
-99.14696,19.47331,2019-06-11
-99.12408,19.39366,2019-06-07
-99.20869,19.33158,2019-06-11
-99.12773,19.45692,2019-06-04
-99.13748,19.39615,2019-06-11
-99.08214,19.47621,2019-06-11
-99.13699,19.39908,2019-06-11
-99.19862,19.37406,2019-06-11
-99.28447,19.36472,2019-06-11
-99.13383,19.3488,2019-05-19
-99.1481,19.42385,2019-05-20
-99.08274,19.38299,2019-06-11
-99.06546,19.42381,2019-06-11
-99.06546,19.42381,2019-06-11
-99.07898,19.38445,2019-06-11
-99.11348,19.46053,2019-06-09
-99.10755,19.29373,2019-06-11
-99.14077,19.45094,2019-06-11
-99.14077,19.45094,2019-06-11
-99.15769,19.39584,2019-05-20
-99.05973,19.30841,2019-06-11
-99.05973,19.30841,2019-06-11
-99.13915,19.387,2019-05-20
-99.26667,19.31289,2019-06-11
-99.26667,19.31289,2019-06-11
-99.14013,19.45761,2019-03-13
-99.23572,19.35432,2019-05-09
-99.25521,19.35914,2018-04-23
-99.25521,19.35914,2018-04-23
-99.11385,19.46465,2019-06-12
-99.11385,19.46465,2019-06-12
-99.20469,19.36533,2019-05-01
-99.20165,19.37659,2019-06-12
-99.19303,19.48139,2019-06-12
-99.21305,19.37141,2019-04-23
-99.20152,19.44772,2019-05-25
-99.1541,19.46052,2016-04-22
-99.13534,19.41026,2019-05-25
-99.11228,19.28235,2019-06-12
-99.11228,19.28235,2019-06-12
-99.18266,19.34494,2019-06-10
-99.16856,19.41896,2019-06-12
-99.27735,19.35802,2019-06-10
-99.17425,19.45292,2019-06-12
-99.10579,19.41757,2019-06-12
-99.15316,19.44631,2019-06-05
-99.15316,19.44631,2019-06-05
-99.13736,19.42559,2019-05-19
-99.2159,19.35336,2019-06-12
-99.12998,19.36629,2019-04-03
-99.14378,19.39668,2019-06-12
-99.14378,19.39668,2019-06-12
-99.1076,19.46858,2019-06-12
-99.1076,19.46858,2019-06-12
-99.17443,19.40443,2019-06-12
-99.19174,19.3439,2019-05-17
-99.16408,19.42543,2019-06-12
-99.2063,19.37293,2019-06-13
-99.15905,19.38122,2018-12-10
-99.20615,19.21753,2019-06-13
-99.20615,19.21753,2019-06-13
-99.20615,19.21753,2019-06-13
-99.15351,19.42436,2019-03-16
-99.02757,19.19888,2019-06-12
-99.12915,19.48195,2019-05-29
-99.09656,19.47864,2019-06-13
-99.12234,19.47134,2019-06-13
-99.1829,19.50518,2019-06-03
-99.09342,19.41425,2019-06-13
-99.28834,19.36432,2019-06-13
-99.08306,19.47623,2019-05-15
-99.13654,19.43239,2019-06-13
-99.1352,19.34479,2019-06-12
-99.1352,19.34479,2019-06-12
-99.07898,19.38445,2019-06-13
-99.18978,19.35832,2019-04-15
-99.17673,19.4288,2019-06-13
-99.17673,19.4288,2019-06-13
-99.09549,19.3318,2018-11-14
-99.2195,19.44502,2019-06-13
-99.10228,19.26518,2019-06-13
-99.12214,19.47188,2019-06-13
-99.18056,19.44622,2019-06-12
-99.18056,19.44622,2019-06-12
-99.13208,19.32154,2019-06-13
-99.07411,19.37208,2019-06-13
-99.08718,19.36866,2019-06-14
-99.15912,19.45361,2019-06-13
-99.20077,19.37842,2019-04-30
-99.19936,19.45303,2019-04-26
-99.17287,19.28952,2019-04-30
-99.06114,19.30514,2019-04-27
-99.10193,19.29198,2019-04-29
-99.06812,19.34764,2019-02-28
-99.16018,19.38825,2019-04-25
-99.15632,19.37695,2019-04-29
-99.15632,19.37695,2019-04-29
-99.18074,19.39613,2019-04-26
-99.18074,19.39613,2019-04-26
-99.12067,19.47224,2019-04-30
-99.17587,19.28456,2019-04-30
-99.18153,19.34223,2019-04-30
-99.21181,19.38912,2019-04-30
-99.1337,19.49022,2019-04-25
-99.09381,19.4199,2019-04-30
-99.08468,19.50079,2019-04-27
-99.08468,19.50079,2019-04-27
-99.12067,19.47219,2019-04-30
-99.07941,19.38515,2019-04-29
-99.20364,19.42716,2019-04-30
-99.20364,19.42716,2019-04-30
-99.03634,19.28903,2019-04-30
-99.11347,19.40389,2019-04-30
-99.11347,19.40389,2019-04-30
-99.13527,19.41082,2019-03-28
-99.09356,19.39123,2019-04-30
-99.22389,19.38637,2019-03-04
-99.05932,19.33824,2019-03-07
-99.16445,19.47132,2019-04-30
-99.03969,19.34319,2019-04-30
-99.03042,19.30004,2019-04-26
-99.01892,19.33699,2019-04-30
-99.17653,19.47537,2019-04-30
-99.16721,19.37117,2019-05-01
-99.04518,19.39094,2019-04-30
-99.14137,19.1971,2019-04-30
-99.14137,19.1971,2019-04-30
-99.14137,19.1971,2019-04-30
-99.1678,19.40876,2019-03-23
-99.08719,19.31785,2019-05-01
-99.08719,19.31785,2019-05-01
-99.10049,19.44851,2019-05-01
-99.12142,19.44158,2019-05-01
-99.12142,19.44158,2019-05-01
-99.16645,19.41311,2019-04-30
-99.07201,19.31554,2019-04-30
-99.10962,19.26475,2019-05-01
-99.1129,19.45319,2019-05-01
-99.1129,19.45319,2019-05-01
-99.12119,19.42256,2019-04-30
-99.13406,19.43123,2019-05-01
-99.03065,19.3592,2019-05-01
-99.03065,19.3592,2019-05-01
-99.03065,19.3592,2019-05-01
-99.12227,19.36057,2019-05-01
-99.14705,19.43498,2019-05-01
-99.09264,19.42003,2019-05-01
-99.09264,19.42003,2019-05-01
-99.19356,19.45972,2019-05-01
-99.11403,19.29845,2019-04-30
-99.1658,19.36834,2019-05-01
-99.1658,19.36834,2019-05-01
-99.1658,19.36834,2019-05-01
-99.16164,19.38192,2019-05-01
-99.16484,19.41629,2019-04-30
-99.20402,19.50199,2019-05-01
-99.30018,19.35451,2019-05-01
-99.30018,19.35451,2019-05-01
-99.12355,19.46824,2019-05-01
-99.11052,19.32112,2019-05-01
-99.11052,19.32112,2019-05-01
-99.15477,19.44147,2019-05-01
-99.2337,19.30679,2019-05-02
-99.17763,19.37495,2019-05-02
-99.09416,19.41906,2019-05-02
-99.11867,19.49019,2019-05-02
-99.12307,19.44256,2019-05-02
-99.13866,19.32481,2019-05-01
-99.15262,19.36591,2019-05-01
-99.15262,19.36591,2019-05-01
-99.08985,19.37462,2019-05-01
-99.14241,19.39436,2019-03-15
-99.20228,19.43854,2019-05-01
-99.11253,19.46385,2019-02-07
-99.19289,19.40357,2019-05-02
-99.19289,19.40357,2019-05-02
-99.15427,19.41496,2019-03-27
-99.15427,19.41496,2019-03-27
-99.20219,19.43564,2019-05-02
-99.15079,19.31935,2019-04-29
-99.1281,19.41428,2019-05-02
-99.07492,19.37419,2019-05-01
-99.11893,19.26442,2019-03-08
-99.11893,19.26442,2019-03-08
-99.08877,19.37445,2019-04-28
-99.13266,19.48732,2019-05-02
-99.1678,19.40876,2019-03-26
-99.13526,19.41014,2019-04-07
-99.13689,19.39912,2019-05-02
-99.19951,19.43964,2019-05-01
-99.1394,19.42647,2019-03-28
-99.15992,19.40623,2019-04-01
-99.05649,19.37101,2019-05-02
-99.00072,19.35437,2019-05-02
-99.07361,19.37262,2019-03-01
-99.15328,19.51835,2019-04-11
-99.13671,19.2859,2019-05-02
-99.15571,19.47582,2019-04-07
-99.20008,19.47807,2019-04-08
-99.01635,19.25437,2019-05-02
-99.12314,19.30279,2019-05-02
-99.09447,19.41918,2019-05-03
-99.06116,19.30506,2019-05-02
-99.17965,19.48963,2019-05-03
-99.16273,19.39655,2019-05-03
-99.12104,19.4437,2019-04-18
-99.09335,19.50437,2019-03-31
-99.18402,19.33657,2019-05-03
-99.18124,19.30638,2019-05-03
-99.04395,19.34118,2019-05-03
-99.17935,19.34647,2019-04-29
-99.1691,19.37335,2019-05-03
-99.13254,19.40766,2019-05-03
-99.19904,19.47971,2019-05-03
-99.19012,19.43584,2019-05-02
-99.16257,19.48097,2018-12-16
-99.16257,19.48097,2018-12-16
-99.09068,19.44075,2019-05-03
-98.99474,19.29358,2019-03-12
-99.03053,19.33819,2019-03-29
-99.03053,19.33819,2019-03-29
-99.09106,19.36699,2019-05-03
-99.07009,19.49463,2019-05-03
-99.07248,19.31616,2019-03-26
-99.28734,19.3626,2019-05-03
-99.12879,19.48909,2019-05-03
-99.12879,19.48909,2019-05-03
